,Title,Link,Date
46,Amounts Outstanding in the Call Money Market (May)[XLSX 34KB],/en/statistics/market/short/call/call.xlsx,"June  7, 2023"
47,Market Operations by the Bank of Japan (May)[XLSX 99KB],/en/statistics/boj/fm/ope/m_release/2023/ope2305.xlsx,"June  7, 2023"
48,Monetary Base and the Bank of Japan's Transactions (May)[PDF 133KB],/en/statistics/boj/other/mbt/mbt2305.pdf,"June  7, 2023"
49,Bank of Japan's Transactions with the Government (May)[PDF 91KB],/en/statistics/boj/other/tseifu/release/2023/seifu2305.pdf,"June  7, 2023"
50,Sources of Changes in Current Account Balances (Projections for June)[XLSX 17KB],/en/statistics/boj/fm/juqp/juqp2306.xlsx,"June  5, 2023"
51,Japanese Government Bonds Held by the Bank of Japan[XLSX 28KB],/en/statistics/boj/other/mei/release/2023/mei230531.xlsx,"June  2, 2023"
52,T-Bills Purchased by the Bank of Japan[XLSX 17KB],/en/statistics/boj/other/tmei/release/2023/tmei230531.xlsx,"June  2, 2023"
53,Collateral Accepted by the Bank of Japan (End of May)[XLSX 17KB],/en/statistics/boj/other/col/col2305.xlsx,"June  2, 2023"
54,Bank of Japan Accounts (May 31),/en/statistics/boj/other/acmai/release/2023/ac230531.htm,"June  2, 2023"
55,Monetary Base (May),/en/statistics/boj/other/mb/mb.htm,"June  2, 2023"
56,Sources of Changes in Current Account Balances and Market Operations (May)[XLSX 28KB],/en/statistics/boj/fm/juqf/juqf05.xlsx,"June  1, 2023"
57,(Research Paper) Heterogeneity and Wage Growth of Full-time Workers in Japan: An Empirical Analysis Using Micro Data,/en/research/wps_rev/wps_2023/wp23e11.htm,"June 19, 2023"
58,"Financial System Report Annex ""Regional and Shinkin Banks' Recent Efforts to Address Climate Change""",/en/research/brp/fsr/fsrb230602.htm,"June  2, 2023"
59,Developments in Real Exports and Real Imports,/en/research/research_data/reri/index.htm,"June 15, 2023"
60,"NGFS publishes the ""NGFS Survey on Climate Scenarios - Key findings""",/en/about/climate/cli230613a.htm,"June 13, 2023"
61,Fifth Meeting of the Cross-Industry Forum on Interest Rate Benchmarks,/en/paym/market/i_forum/ifo230607a.htm,"June  7, 2023"
62,Consumption Activity Index,/en/research/research_data/cai/index.htm,"June  7, 2023"
63,Bond Market Survey (May 2023)[PDF 160KB],/en/paym/bond/bond_list/bond2305.pdf,"June  1, 2023"
