,Title,Link,Date
0,The transmission of macroprudential policy...,https://www.bankofengland.co.uk/working-paper/2023/the-transmission-of-macroprudential-policy-in-the-tails-evidence-from-a-narrative-approach,"
                            16 June 2023
                        "
1,Bank of England/Ipsos Inflation Attitudes...,https://www.bankofengland.co.uk/inflation-attitudes-survey/2023/may-2023,"
                            16 June 2023
                        "
2,Bank of England Weekly Report 14 June 2023,https://www.bankofengland.co.uk/weekly-report/2023/14-june-2023,"
                            15 June 2023
                        "
3,Bank of England Weekly Report 7 June 2023,https://www.bankofengland.co.uk/weekly-report/2023/7-june-2023,"
                            08 June 2023
                        "
4,The potential impact of broader central clearing...,https://www.bankofengland.co.uk/working-paper/2023/the-potential-impact-of-broader-central-clearing-on-dealer-balance-sheet-capacity,"
                            02 June 2023
                        "
5,"Flexible Bayesian MIDAS: time‑variation,...",https://www.bankofengland.co.uk/working-paper/2023/flexible-bayesian-midas-time-variation-group-shrinkage-and-sparsity,"
                            02 June 2023
                        "
6,Bank of England Weekly Report 31 May 2023,https://www.bankofengland.co.uk/weekly-report/2023/31-may-2023,"
                            01 June 2023
                        "
7,Monthly Decision Maker Panel data - May 2023,https://www.bankofengland.co.uk/decision-maker-panel/2023/may-2023,"
                            01 June 2023
                        "
